No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,14828.1,14.92,42.98,1.56%,3656145
2,AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA,8530.62,38,7.98,-0.50%,44724480
3,AACC,Asset Acceptance Capital Corp.,Financial,Credit Services,USA,200.77,34.26,6.51,0.00%,0
4,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2137.95,14.18,28.22,0.18%,829851
5,AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,773.44,25.87,31.56,-1.84%,176711
6,AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,5909.68,15.93,80.74,-2.58%,963953
7,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,388536.59,9.87,413.5,-0.80%,17049964
8,AAT,"American Assets Trust, Inc.",Financial,REIT - Office,USA,1156.16,,29.62,-0.87%,287891
9,AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other",USA,1173.79,8.62,44.58,-1.31%,573209
10,AAXJ,iShares MSCI All Country Asia ex Jpn Idx,Financial,Exchange Traded Fund,USA,1820.81,,53.87,2.63%,480135
11,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2183.47,35.11,21.77,-4.81%,1005482
12,ABAX,Abaxis Inc.,Healthcare,Diagnostic Substances,USA,1016.17,37.41,46.02,1.41%,178210
13,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,67680.56,12.57,42.62,3.80%,9799025
14,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,383.08,34.89,16.05,1.71%,102479
15,ABCO,Advisory Board Co.,Services,Business Services,USA,1882.03,87.89,53.61,0.77%,242983
16,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1182.23,13.47,38.26,-1.14%,327489
17,ABM,ABM Industries Inc.,Services,Business Services,USA,1318.39,18.26,24.1,-0.37%,307672
18,ABMD,Abiomed Inc.,Healthcare,Medical Appliances & Equipment,USA,817.25,57.43,21.25,-1.67%,709393
