Resort Name,Location,Vertical Feet,Number Trials,Number Lifts,Condtions URL
Attitash,New Hampshire,1750,76,11,
Balsams Wilderness,New Hampshire,1006,21,6,
Berkshire East,Massachusetts,1180,45,6,
Big Squaw,Maine,1700,18,1,
Black Mountain,New Hampshire,1100,40,4,
Blandford,Massachusetts,465,22,5,
Blue Hills,Massachusetts,309,12,4,
Bolton Valley,Vermont,1704,71,6,
Bousquet,Massachusetts,750,23,5,
Bradford,Massachusetts,248,13,8,
Bretton Woods,New Hampshire,1500,102,9,
Bromley,Vermont,1334,46,10,
Burke Mountain,Vermont,2011,50,6,
Camden,Maine,943,11,4,
Cannon Mountain,New Hampshire,2180,72,9,
Cranmore Mountain,New Hampshire,1500,54,10,
Crotched Mountain,New Hampshire,1000,25,5,
Dartmouth Skiway,New Hampshire,968,31,4,
Granite Gorge,New Hampshire,525,17,2,
Gunstock,New Hampshire,1400,55,8,
Jay Peak,Vermont,2153,76,8,
Jiminy Peak,Massachusetts,1150,45,9,
Killington,Vermont,3050,140,22,
King Pine,New Hampshire,350,17,6,
Loon Mountain,New Hampshire,2100,60,12,
Lost Valley,Maine,240,15,3,
Mad River Glen,Vermont,2037,45,5,
Magic Mountain,Vermont,1700,40,4,
Mohawk Mountain,Connecticut,650,25,7,
Mount Snow,Vermont,1700,80,20,
Mount Southington,Connecticut,425,14,7,
Mount Sunapee,New Hampshire,1510,66,11,
Mt. Abram,Maine,1150,44,5,
Mt. Jefferson,Maine,432,11,3,
Nashoba Valley,Massachusetts,240,17,9,
New Hermon Mtn.,Maine,350,18,3,
Okemo,Vermont,2200,119,19,
Otis Ridge,Massachusetts,400,11,5,
Pats Peak,New Hampshire,710,22,10,
Pico Mountain,Vermont,1967,50,7,
Ragged Mountain,New Hampshire,1250,45,5,
Saddleback,Maine,2000,66,5,
Shawnee Peak,Maine,1300,42,5,
Ski Butternut,Massachusetts,1000,22,10,
Ski Sundown,Connecticut,625,15,5,
Ski Ward,Massachusetts,210,9,6,
Smugglers Notch,Vermont,2610,78,8,
Stowe,Vermont,2160,116,13,
Stratton,Vermont,2003,94,11,
SugarBush,Vermont,2600,111,16,
SugarLoaf,Maine,2820,145,15,
Suicide Six,Vermont,650,23,3,
Sunday River,Maine,2340,132,16,
Tenney Mountain,New Hampshire,1400,45,4,
Wachusett,Massachusetts,1000,22,8,
Waterville Valley,New Hampshire,2020,52,12,
Wildcat,New Hampshire,2112,49,4,
Woodbury,Connecticut,300,15,6,
